Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2024",242.72,243.39,240.04,241.17,241.17,"5,730,200"
"Dec 26, 2024",241.43,243.26,240.79,243.14,243.14,"4,451,800"
"Dec 24, 2024",239.43,242.49,239.07,242.31,242.31,"3,729,100"
"Dec 23, 2024",236.07,238.62,234.88,238.39,238.39,"8,611,500"
"Dec 20, 2024",231.92,239.21,231.59,237.60,237.60,"32,348,400"
"Dec 19, 2024",232.27,236.36,232.27,232.96,232.96,"11,790,800"
"Dec 18, 2024",239.00,239.07,229.53,230.37,230.37,"11,322,400"
"Dec 17, 2024",238.65,239.02,236.63,238.36,238.36,"8,083,600"
"Dec 16, 2024",240.61,240.67,237.52,239.58,239.58,"9,032,000"
"Dec 13, 2024",242.07,242.72,239.14,239.94,239.94,"10,392,700"
"Dec 12, 2024",243.00,244.10,241.04,241.53,241.53,"6,113,800"
"Dec 11, 2024",244.00,244.27,242.18,243.53,243.53,"7,884,400"
"Dec 10, 2024",243.89,247.96,242.22,242.86,242.86,"9,108,300"
"Dec 9, 2024",247.13,247.87,243.76,243.81,243.81,"7,076,500"
"Dec 6, 2024",245.70,247.74,244.84,247.36,247.36,"5,519,700"
"Dec 5, 2024",245.39,247.18,244.62,245.48,245.48,"6,572,500"
"Dec 4, 2024",244.70,245.35,242.23,243.40,243.40,"7,346,300"
"Dec 3, 2024",248.23,249.04,244.63,244.82,244.82,"6,657,700"
"Dec 2, 2024",249.55,250.25,245.03,246.25,246.25,"8,899,700"
"Nov 29, 2024",249.86,251.77,249.45,249.72,249.72,"5,494,800"
"Nov 27, 2024",249.35,251.19,248.77,249.79,249.79,"5,472,300"
"Nov 26, 2024",250.49,251.00,248.34,249.97,249.97,"6,212,100"
"Nov 25, 2024",249.59,254.31,249.06,250.29,250.29,"10,295,400"
"Nov 22, 2024",243.61,249.15,243.03,248.55,248.55,"7,997,300"
"Nov 21, 2024",243.23,245.49,242.11,244.76,244.76,"8,783,500"
"Nov 20, 2024",244.40,244.61,238.64,240.78,240.78,"9,015,300"
"Nov 19, 2024",242.25,245.15,241.55,243.09,243.09,"6,792,700"
"Nov 18, 2024",247.76,247.93,242.68,245.03,245.03,"9,052,600"
