Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2024",138.55,139.02,134.71,137.01,137.01,"170,291,000"
"Dec 26, 2024",139.70,140.85,137.73,139.93,139.93,"116,519,100"
"Dec 24, 2024",140.00,141.90,138.65,140.22,140.22,"105,157,000"
"Dec 23, 2024",136.28,139.79,135.12,139.67,139.67,"176,053,500"
"Dec 20, 2024",129.81,135.28,128.22,134.70,134.70,"306,528,600"
"Dec 19, 2024",131.76,134.03,129.55,130.68,130.68,"209,719,200"
"Dec 18, 2024",133.86,136.70,128.28,128.91,128.91,"277,444,500"
"Dec 17, 2024",129.09,131.59,126.86,130.39,130.39,"259,410,300"
"Dec 16, 2024",134.18,134.40,130.42,132.00,132.00,"237,951,100"
"Dec 13, 2024",138.94,139.60,132.54,134.25,134.25,"231,514,900"
"Dec 12, 2024",137.08,138.44,135.80,137.34,137.34,"159,211,400"
"Dec 11, 2024",137.36,140.17,135.21,139.31,139.31,"184,905,200"
"Dec 10, 2024",139.01,141.82,133.79,135.07,135.07,"210,020,900"
"Dec 9, 2024",138.97,139.95,137.13,138.81,138.81,"189,308,600"
"Dec 6, 2024",144.60,145.70,141.31,142.44,142.44,"188,505,600"
"Dec 5, 2024",145.11,146.54,143.95,145.06,145.06,"172,621,200"
"Dec 4, 2024",142.00,145.79,140.29,145.14,145.13,"231,224,300"
"Dec 3, 2024",138.26,140.54,137.95,140.26,140.25,"164,414,000"
"Dec 2, 2024",138.83,140.45,137.82,138.63,138.62,"171,682,800"
"Nov 29, 2024",136.78,139.35,136.05,138.25,138.24,"141,863,200"
"Nov 27, 2024",135.01,137.22,131.80,135.34,135.33,"226,370,900"
"Nov 26, 2024",137.70,139.30,135.67,136.92,136.91,"190,287,700"
"Nov 25, 2024",141.99,142.05,135.82,136.02,136.01,"344,941,900"
"Nov 22, 2024",145.93,147.16,141.10,141.95,141.94,"236,406,200"
"Nov 21, 2024",149.35,152.89,140.70,146.67,146.66,"400,946,600"
"Nov 20, 2024",147.41,147.56,142.73,145.89,145.88,"309,871,700"
"Nov 19, 2024",141.32,147.13,140.99,147.01,147.00,"227,834,900"
"Nov 18, 2024",139.50,141.55,137.15,140.15,140.14,"221,866,000"
"Nov 15, 2024",144.87,145.24,140.08,141.98,141.97,"250,132,900"
"Nov 14, 2024",147.64,149.00,145.55,146.76,146.75,"194,463,300"
"Nov 13, 2024",149.07,149.33,145.90,146.27,146.26,"191,903,300"
"Nov 12, 2024",146.78,149.65,146.01,148.29,148.28,"198,634,700"
"Nov 11, 2024",148.68,148.85,143.57,145.26,145.25,"182,325,600"
"Nov 8, 2024",148.77,149.77,146.26,147.63,147.62,"175,665,800"
"Nov 7, 2024",146.39,148.93,146.17,148.88,148.87,"207,323,300"
"Nov 6, 2024",142.96,146.49,141.96,145.61,145.60,"242,043,900"
"Nov 5, 2024",137.45,140.37,137.33,139.91,139.90,"160,537,400"
"Nov 4, 2024",137.21,138.96,135.57,136.05,136.04,"187,528,200"
"Nov 1, 2024",134.70,137.31,134.57,135.40,135.39,"207,127,800"
"Oct 31, 2024",137.60,137.61,132.11,132.76,132.75,"270,039,600"
"Oct 30, 2024",139.54,140.33,136.81,139.34,139.33,"179,418,100"
"Oct 29, 2024",140.29,142.26,138.90,141.25,141.24,"157,593,600"
"Oct 28, 2024",143.00,143.14,140.05,140.52,140.51,"173,586,700"
"Oct 25, 2024",140.93,144.13,140.80,141.54,141.53,"205,122,100"
"Oct 24, 2024",140.82,141.35,138.46,140.41,140.40,"172,354,900"
"Oct 23, 2024",142.03,142.43,137.46,139.56,139.55,"285,930,000"
"Oct 22, 2024",142.91,144.42,141.78,143.59,143.58,"226,311,600"
"Oct 21, 2024",138.13,143.71,138.00,143.71,143.70,"264,554,500"
"Oct 18, 2024",138.67,138.90,137.28,138.00,137.99,"176,090,200"
"Oct 17, 2024",139.34,140.89,136.87,136.93,136.92,"306,435,900"
"Oct 16, 2024",133.98,136.62,131.58,135.72,135.71,"264,879,700"
"Oct 15, 2024",137.87,138.57,128.74,131.60,131.59,"377,831,000"
"Oct 14, 2024",136.47,139.60,136.30,138.07,138.06,"232,347,700"
"Oct 11, 2024",134.01,135.78,133.66,134.80,134.79,"170,209,500"
"Oct 10, 2024",131.91,135.00,131.00,134.81,134.80,"242,311,300"
"Oct 9, 2024",134.11,134.52,131.38,132.65,132.64,"246,191,600"
"Oct 8, 2024",130.26,133.48,129.42,132.89,132.88,"285,722,500"
"Oct 7, 2024",124.99,130.64,124.95,127.72,127.71,"346,250,200"
"Oct 4, 2024",124.94,125.04,121.83,124.92,124.91,"243,678,100"
"Oct 3, 2024",120.92,124.36,120.34,122.85,122.84,"277,118,000"
"Oct 2, 2024",116.44,119.38,115.14,118.85,118.84,"221,845,900"
"Oct 1, 2024",121.77,122.44,115.79,117.00,116.99,"302,094,500"
"Sep 30, 2024",118.31,121.50,118.15,121.44,121.43,"226,553,700"
"Sep 27, 2024",123.97,124.03,119.26,121.40,121.39,"271,009,200"
"Sep 26, 2024",126.80,127.67,121.80,124.04,124.03,"302,582,900"
"Sep 25, 2024",122.02,124.94,121.61,123.51,123.50,"284,692,900"
"Sep 24, 2024",116.52,121.80,115.38,120.87,120.86,"354,966,800"
"Sep 23, 2024",116.55,116.99,114.86,116.26,116.25,"206,228,500"
"Sep 20, 2024",117.06,118.62,115.39,116.00,115.99,"382,462,400"
