Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2024",109.44,109.80,106.52,108.18,108.18,"3,965,400"
"Dec 26, 2024",109.78,110.62,108.89,109.96,109.96,"2,224,600"
"Dec 24, 2024",109.63,110.36,108.51,110.18,110.18,"1,848,500"
"Dec 23, 2024",108.53,110.08,107.47,109.25,109.25,"4,097,200"
"Dec 20, 2024",105.30,109.96,104.50,108.95,108.95,"6,709,500"
"Dec 19, 2024",111.30,111.44,105.71,107.07,107.07,"10,550,200"
"Dec 18, 2024",118.81,120.10,109.51,109.70,109.70,"8,810,400"
"Dec 17, 2024",115.14,119.85,114.95,119.49,119.49,"8,038,100"
"Dec 16, 2024",115.72,117.00,114.69,115.94,115.94,"5,178,900"
"Dec 13, 2024",115.52,116.50,113.44,114.63,114.63,"4,667,200"
"Dec 12, 2024",116.22,118.32,115.15,115.31,115.31,"6,059,300"
"Dec 11, 2024",115.36,117.86,114.16,117.37,117.37,"6,459,000"
"Dec 10, 2024",114.78,116.65,112.68,113.45,113.45,"5,139,800"
"Dec 9, 2024",118.59,118.94,114.08,115.29,115.29,"6,325,700"
"Dec 6, 2024",116.72,120.72,116.40,118.37,118.37,"10,136,400"
"Dec 5, 2024",113.43,115.46,112.94,114.09,114.09,"5,291,000"
"Dec 4, 2024",112.33,115.79,112.30,113.43,113.43,"7,736,700"
"Dec 3, 2024",112.75,113.79,111.04,111.86,111.86,"8,263,400"
"Dec 2, 2024",115.22,115.99,111.12,112.98,112.98,"9,839,600"
"Nov 29, 2024",113.16,116.35,112.53,115.60,115.60,"6,178,300"
"Nov 27, 2024",111.44,112.59,110.94,112.54,112.54,"4,665,600"
"Nov 26, 2024",109.70,113.90,109.08,112.08,112.08,"8,029,000"
"Nov 25, 2024",109.30,112.45,108.63,111.00,111.00,"10,139,300"
"Nov 22, 2024",107.01,107.50,105.33,106.96,106.96,"7,059,900"
"Nov 21, 2024",103.74,108.21,103.26,106.48,106.48,"10,624,700"
"Nov 20, 2024",104.83,105.07,102.58,103.94,103.94,"7,632,600"
"Nov 19, 2024",104.31,105.38,103.27,104.59,104.59,"9,038,100"
